|        Name | active |           RA |          Dec |  Discovery |       V |  date_Vmax |  Vmax |           Type |         z | asassn | flcogt | fnorth | fswift | psf | stop_all |
|     2019gbx |      1 | 12:50:02.804 | -14:46:00.23 | 2019-05-29 |  19.292 | 2019-06-06 |  15.5 |             Ia |  0.013059 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019gal |      1 | 13:09:14.654 | -40:54:39.08 | 2019-05-28 |  18.844 |        --- |  99.9 |            unk | 0.008466? |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019fxy |      1 | 10:21:20.958 | +12:10:41.23 | 2019-05-24 |   19.13 |        --- |  99.9 |            unk |  0.009543 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019edo |      0 | 12:11:51.511 | +24:08:12.08 | 2019-04-27 |    16.7 | 2019-05-12 |  16.6 |          SN II |  0.008569 |      1 |      1 |      0 |      0 |   0 |        0 |
|     2019eez |      0 | 06:16:22.260 | -21:21:35.68 | 2019-04-27 |    16.7 | 2019-05-04 |  16.1 |             II |  0.009143 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019fcn |      0 | 08:07:08.057 | -28:03:22.75 | 2019-05-08 |    16.2 | 2019-05-21 |  14.0 |          SN II |  0.003402 |      0 |      1 |      0 |      0 |   0 |        0 |
| ASASSN-19ml |      0 | 08:07:08.057 | -28:03:22.75 | 2019-05-08 |    16.2 | 2019-05-14 |  15.1 |          SN II |  0.003402 |      1 |      0 |      0 |      0 |   0 |        0 |
|     2019fck |      1 | 13:36:13.015 | +38:21:18.22 | 2019-05-13 |   16.76 | 2019-05-26 |  14.5 |             Ia |     0.014 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019exg |      0 | 21:38:32.197 | -04:42:11.89 | 2019-05-09 |  18.707 |        --- |  99.9 |             Ia |      0.01 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019fcc |      1 | 13:51:30.870 | -52:55:34.40 | 2019-05-12 |    15.8 | 2019-05-14 |  17.7 |             II |  0.013253 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019ejj |      0 | 08:07:08.763 | -28:03:11.82 | 2019-05-02 |  17.796 | 2019-05-13 |  15.5 |             II |     0.003 |      1 |      0 |      0 |      0 |   0 |        0 |
|     2019esa |      0 | 07:55:00.889 | -76:24:43.11 | 2019-05-06 |    17.2 | 2019-05-21 |  15.0 |            IIn |  0.005891 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019eqr |      0 | 11:24:23.516 | +11:20:40.81 | 2019-04-24 |   21.04 |        --- |  99.9 |            unk |  0.003536 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019enr |      0 | 09:34:47.720 | +10:17:12.81 | 2019-05-04 |  18.808 |        --- |  99.9 |             II |   0.00818 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019ehk |      0 | 12:22:56.130 | +15:49:33.60 | 2019-04-29 |    16.5 |  2019-05-2 | 16.12 |             Ib |     0.005 |      1 |      0 |      0 |      0 |   0 |        0 |
|     2019ein |      1 | 13:53:29.134 | +40:16:31.40 | 2019-05-01 |  18.194 | 2019-05-14 |  13.8 |         Ia-pec |  0.007755 |      0 |      1 |      0 |      0 |   1 |        0 |
| ASASSN-19kz |      0 | 06:16:22.260 | -21:21:35.68 | 2019-04-27 |    16.7 | 2019-05-04 |  16.1 |             II |  0.009143 |      1 |      1 |      0 |      0 |   0 |        0 |
|     2019drl |      0 | 10:33:05.057 | +64:44:36.01 | 2019-03-20 |   18.72 |        --- |  99.9 |            unk |  0.005887 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019dko |      0 | 12:05:51.400 | +67:15:25.00 | 2019-04-12 |    19.0 |        --- |  99.9 |            unk |  0.007587 |      0 |      1 |      0 |      0 |   0 |        0 |
| ASASSN-19ka |      0 | 18:48:13.452 | -63:23:37.75 | 2019-04-13 |    17.3 | 2019-04-14 |  18.0 |            unk |   0.01447 |      1 |      0 |      0 |      0 |   0 |        0 |
| ASASSN-19jy |      0 | 12:53:38.393 | -26:17:31.52 | 2019-04-11 |    16.9 | 2019-04-21 |  16.3 |             II |  0.010637 |      1 |      0 |      0 |      0 |   0 |        0 |
|     2019cwn |      0 | 06:19:02.380 | +03:09:49.57 | 2019-04-05 |   17.84 |        --- |  99.9 |            unk |  0.009680 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019cxw |      0 | 13:01:59.808 | -06:55:45.48 | 2019-04-08 |    20.5 |        --- |  99.9 |            unk |  0.011985 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019cth |      0 | 14:45:47.500 | +50:23:49.00 | 2019-04-03 |    19.0 | 2019-04-24 |  15.1 |             Ia |  0.013344 |      0 |      1 |      0 |      0 |   1 |        0 |
| ASASSN-19hv |      0 | 18:31:06.926 | -71:41:32.68 | 2019-03-31 |    16.7 | 2019-04-14 |  15.7 |            unk |  0.012799 |      1 |      1 |      0 |      0 |   1 |        0 |
| ASASSN-19hq |      0 | 07:36:37.632 | +74:26:47.33 | 2019-03-27 |  17.185 | 2019-04-15 |  16.5 |        Ib-pec? |     0.012 |      1 |      1 |      0 |      0 |   0 |        0 |
|     2019clr |      0 | 13:05:43.104 | +37:37:36.12 | 2019-03-28 |    19.6 |        --- |  99.9 |            unk |   0.00107 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019ccm |      0 | 04:41:05.312 | +73:40:23.02 | 2019-03-24 |  18.228 |        --- |  99.9 |             Ib |  0.014964 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019cah |      0 | 09:02:46.244 | -20:43:30.15 | 2019-03-01 |   18.34 | 2019-03-22 |  13.8 |            unk |  0.009300 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bxq |      0 | 16:57:58.577 | +78:36:13.51 | 2019-03-15 |   18.32 | 2019-03-20 |  15.6 |            IIn |  0.014210 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bzh |      0 | 12:48:58.704 | -14:24:19.44 | 2019-03-17 |    20.0 | 2019-03-19 |  18.8 |            unk |    0.0123 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bvu |      0 | 15:39:52.160 | -44:35:44.77 | 2019-03-17 |  18.012 | 2019-03-18 |  18.8 |             Ia |  0.011453 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bvp |      0 | 10:38:33.622 | -07:10:14.46 | 2019-03-05 |   17.56 | 2019-03-17 |  13.4 |            unk |  0.007277 |      0 |      1 |      0 |      0 |   0 |        0 |
